aid,diffmaglim,fid,mjd,oid,sid,tid
"",19.8725,1,60839.23952550022,"ZTF18absrlhv","","ztf"
"",20.1112,1,60846.44322919985,"ZTF18absrlhv","","ztf"
"",19.495,1,60854.30988429999,"ZTF18absrlhv","","ztf"
"",19.6919,1,60900.356331000105,"ZTF18absrlhv","","ztf"
"",20.5569,1,60908.18069439987,"ZTF18absrlhv","","ztf"
"",20.4084,1,60908.282222200185,"ZTF18absrlhv","","ztf"
"",20.1175,1,60910.22512729978,"ZTF18absrlhv","","ztf"
"",20.4411,1,60914.18226849986,"ZTF18absrlhv","","ztf"
"",20.3398,1,60918.17395830015,"ZTF18absrlhv","","ztf"
"",19.9718,1,60920.244756899774,"ZTF18absrlhv","","ztf"
"",19.9053,1,60920.278553199954,"ZTF18absrlhv","","ztf"
"",19.8425,1,60922.15781249991,"ZTF18absrlhv","","ztf"
"",19.8894,1,60922.1644791998,"ZTF18absrlhv","","ztf"
"",19.5258,1,60924.242083299905,"ZTF18absrlhv","","ztf"
"",19.5211,1,60924.243506900035,"ZTF18absrlhv","","ztf"
"",19.5884,1,60926.15936340019,"ZTF18absrlhv","","ztf"
"",19.6362,1,60926.160786999855,"ZTF18absrlhv","","ztf"
"",19.8291,1,60928.18707180023,"ZTF18absrlhv","","ztf"
"",19.6666,1,60928.265393500216,"ZTF18absrlhv","","ztf"
"",19.2504,1,60953.23428239999,"ZTF18absrlhv","","ztf"
"",18.9365,1,60955.195185199846,"ZTF18absrlhv","","ztf"
"",20.599,2,58336.21585649997,"ZTF18absrlhv","","ztf"
"",20.4069,2,58337.33024309995,"ZTF18absrlhv","","ztf"
"",20.3628,2,58339.15798609983,"ZTF18absrlhv","","ztf"
"",20.1132,2,58340.178159699775,"ZTF18absrlhv","","ztf"
"",20.457,2,58343.156770799775,"ZTF18absrlhv","","ztf"
"",20.3584,2,58343.330266200006,"ZTF18absrlhv","","ztf"
"",20.5294,2,58346.17734949989,"ZTF18absrlhv","","ztf"
"",20.2326,2,58349.23989580013,"ZTF18absrlhv","","ztf"
"",20.2681,2,58349.24446759978,"ZTF18absrlhv","","ztf"
"",19.8257,2,58352.21901619993,"ZTF18absrlhv","","ztf"
"",19.8509,2,58352.242037000135,"ZTF18absrlhv","","ztf"
"",19.7175,2,58356.20493059978,"ZTF18absrlhv","","ztf"
"",19.7675,2,58356.26099540014,"ZTF18absrlhv","","ztf"
"",19.6472,2,58356.26706020022,"ZTF18absrlhv","","ztf"
"",19.8997,2,58359.19952550018,"ZTF18absrlhv","","ztf"
"",19.5018,2,58359.262326399796,"ZTF18absrlhv","","ztf"
"",19.4132,2,58359.28730319999,"ZTF18absrlhv","","ztf"
"",20.5082,2,58362.16111110011,"ZTF18absrlhv","","ztf"
"",20.4939,2,58362.1786342999,"ZTF18absrlhv","","ztf"
"",19.5225,2,58476.53070600005,"ZTF18absrlhv","","ztf"
"",19.7748,2,58481.54903940018,"ZTF18absrlhv","","ztf"
"",19.5511,2,58492.494085600134,"ZTF18absrlhv","","ztf"
"",17.1561,2,58503.50737270014,"ZTF18absrlhv","","ztf"
"",19.0291,2,58509.489710600115,"ZTF18absrlhv","","ztf"
"",18.6541,2,58538.511088000145,"ZTF18absrlhv","","ztf"
"",18.6766,2,58538.51339119999,"ZTF18absrlhv","","ztf"
"",20.0643,2,58541.55268519977,"ZTF18absrlhv","","ztf"
"",16.3118,2,58589.323935199995,"ZTF18absrlhv","","ztf"
"",18.3531,2,58589.346493099816,"ZTF18absrlhv","","ztf"
"",20.6696,2,58661.321030099876,"ZTF18absrlhv","","ztf"
"",20.5741,2,58662.244907400105,"ZTF18absrlhv","","ztf"
